Date,,Race,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,Win,
11/06/11,Menangle,5,15,35,10,1.9,3,31,61,21,41,71,13,9,,4,
11/06/11,Menangle,6,61,6,26,15,1.8,11,26.1,35,51,4,26.2,35.1,,2,
11/06/11,Menangle,7,17,41,10,26,31,999,12,2,999.1,13,3,26.1,,11,
11/06/11,Globe Derby,4,4.3,9,11,41,1.9,16,17,13,16.1,51,,,,2,
11/06/11,Globe Derby,6,8.5,26,12,3.8,8.51,3.81,41,26.1,4.8,16,,,,5,
11/06/11,Globe Derby,7,67,21,8.5,8.51,1.7,7,7.5,12,34,,,,,7,
11/06/11,Albion Park,4,10,5.5,4.3,12,26,4.31,4.5,31,31.1,13,,,,1,
12/06/11,Shepparton,4,8,34,1.8,7,34.1,21,5.5,21.1,34.2,26,8.1,,,3,
14/06/11,Kilmore,6,6,25,3.5,10,17,34,10.1,999,21,26,4,13,,3,
15/06/11,Horsham,4,34,5,3,999,34.1,41,21,17,2.1,8,,,,3,
15/06/11,Horsham,6,5,5.1,3,3.7,34,67,26,8,34.1,13,,,,9,
15/06/11,Ballarat,7,1.7,41,8,13,8.1,9,41.1,26,999,5,,,,1,
16/06/11,Melton,7,26,9,6,9.1,999,11,999.1,4.5,6.1,8,8.1,8.2,999.2,3,
16/06/11,Bendigo,7,9,9.1,17,11,4.5,15,4.51,26,25,9.2,5.51,8,,12,
17/06/11,Melton,5,5.5,41,7,4,7.5,21,16,8,16.1,9,26,26.1,4.8,5,
17/06/11,Young,7,26,34,8,4.5,1.8,26.1,13,34.1,7,26.2,,,,9,
18/06/11,Shepparton,6,26,3.2,13,3.7,999,6,11,21,67,67.1,4.2,21.1,,2,
18/06/11,Albion Park,5,17,13,9,4.8,7.5,13.1,4.81,21,3.3,26,,,,9,
20/06/11,Charlton,4,4,13,41,5,4.1,26,3,21.1,13.1,,,,,5,
22/06/11,Hamilton,4,2.8,26,34,26.1,16,5.5,4.5,5.51,7,51,999,34.1,,7,
22/06/11,Hamilton,6,5,26,51,8,26.1,14,15,1.8,999,26.2,51.1,999.1,,4,
22/06/11,Echuca,4,999,21,3,67,1.6,15,12,51,34,9,999.1,,,5,
23/06/11,Melton,4,51,81,51.1,3,21,34,4,67,2.2,81.1,6,999,67.1,9,
23/06/11,Melton,7,7,3,5,6.5,4,21,51,67,34,26,21.1,51.1,25,2,
23/06/11,Bendigo,7,5,6,8,18,12,21,999,5.1,11,21.1,4,51,,9,
24/06/11,Mildura,5,5.5,2.5,4,21,51,999,8,11,9,13,51.1,,,2,
24/06/11,Mildura,6,9,51,34,3,3.7,16,9.1,6,26,25,5.5,,,4,
24/06/11,Newcastle,6,34,6,34.1,26,3.3,3.8,9,26.1,7.5,9.1,26.2,,,10,
25/06/11,Bathurst,5,26,21,4.8,6.5,26.1,10,15,5.5,5.51,3.3,,,,3,
25/06/11,Bathurst,7,2.8,11,17,2.81,34,11.1,9,13,7,,,,,7,
25/06/11,Globe Derby,6,21,17,3.5,13,2.8,7,7.1,17.1,999,13.1,34,,,2,
25/06/11,Globe Derby,7,8,11,13,9,5.5,9.1,21,4.5,13.1,5,,,,1,
25/06/11,Albion Park,4,6,6.1,3.8,8.5,15,7,13,26,4.8,21,,,,4,
25/06/11,Albion Park,5,26,2.3,34,6,11,17,2.8,21,34.1,,,,,7,
25/06/11,Albion Park,6,8,5,4.5,4.51,21,3.5,17,26,11,,,,,2,
28/06/11,Kilmore,4,18,26,41,34,999,3.5,2.5,15,26.1,6,7,15.1,,2,
28/06/11,Kilmore,5,26,6,67,4,15,999,21,18,12,2.5,10,999.1,,2,
29/06/11,Maryborough,4,4,11,21,14,4.5,21.1,21.2,7,7.1,25,7.2,11.1,,10,
29/06/11,Maryborough,6,21,25,26,51,8.5,10,4,26.1,7,8.51,34,2.7,,5,
30/06/11,Melton,5,8,34,3.5,67,999,26,6,11,21,51,2.2,51.1,34.1,7,
30/06/11,Shepparton,6,51,25,67,5.5,4.5,34,8,12,34.1,4,3,21,,7,
1/07/11,Mildura,5,3.2,10,12,4.5,16,3.8,6,999,14,11,9,,,2,
2/07/11,Cranbourne,4,11,4.5,21,1.3,34,101,21.1,15,26,999,,,,4,
2/07/11,Menangle,4,13,5,17,21,1.5,21.1,10,41,26,10.1,,,,5,
2/07/11,Menangle,5,7.5,21,5.5,2.9,13,41,7.51,26,4,5,,,,5,
2/07/11,Menangle,6,11,9,21,2,4.4,8,3.8,35,,,,,,4,
2/07/11,Menangle,7,4.4,3.2,9,3.21,31,21,7.5,21.1,8.5,,,,,4,
2/07/11,Albion Park,4,31,6,6.1,5,51,13,31.1,13.1,1.8,26,31.2,,,6,
2/07/11,Albion Park,5,7,7.1,31,21,7.5,3.8,12,13,4.8,4.3,31.1,,,9,
2/07/11,Globe Derby,4,13,6,11,7,3.5,6.1,26,34,6.2,9,,,,3,
2/07/11,Globe Derby,6,1.9,101,4.3,4.8,34,12,4.81,51,101.1,,,,,4,
3/07/11,Ballarat,4,7,14,51,14.1,34,16,25,34.1,34.2,4,2.8,3.7,,6,
4/07/11,Geelong,4,10,16,4.5,4.51,13,6.5,7.5,10.1,3.5,,,,,7,
5/07/11,Bendigo,4,3,3.5,11,12,6,15,6.1,8,,,,,,1,
5/07/11,Bendigo,6,2.8,10,34,15,21,999,2.5,67,51,3.5,,,,10,
6/07/11,Maryborough,7,26,7.5,16,51,16.1,3.3,2.9,6,13,8.5,,,,2,
6/07/11,Echuca,5,2.8,67,3.5,25,21,8,7,11,6,21.1,51,,,3,
7/07/11,Stawell,5,1.5,26,51,8,34,21,7,26.1,5.5,999,34.1,,,9,
7/07/11,Stawell,7,26,18,5.5,25,2.8,12,15,6,3.5,21,34,,,5,
7/07/11,Kilmore,5,2.5,4.5,34,12,11,999,999.1,12.1,21,16,5,9,,2,
8/07/11,Melton,4,6.5,3.2,5.5,26,8,51,5,11,16,8.5,,,,10,
8/07/11,Melton,6,9,4.5,16,11,4.51,21,4.52,34,9.1,51,,,,2,
8/07/11,Melton,7,2,26,5.5,51,16,26.1,16.1,12,16.2,3.2,34,,,3,
8/07/11,Newcastle,7,31,2.9,13,11,16,34,13.1,3,3.5,,,,,2,
8/07/11,Melton,7,12,51,21,5,12.1,4,13,21.1,14,21.2,10,2.25,41,4,
9/07/11,Ballarat,4,8,2.2,21,2.8,51,21.1,15,10,34,15.1,,,,4,
9/07/11,Menangle,4,4,16,21,6.5,7.5,17,7.51,12,2.1,999,,,,4,
9/07/11,Menangle,5,10,7,6.5,21,4,1.7,7.5,,,,,,,6,
9/07/11,Menangle,6,16,10,1.95,9,6.5,999,11,5.5,5.51,,,,,3,
9/07/11,Albion Park,7,2.5,26,34,21,21.1,2.9,3.3,,,,,,,6,
10/07/11,Mildura,6,4,51,16,8,21,3.5,4.5,25,34,5,21.1,,,6,
10/07/11,Mildura,7,12,3.5,4.5,7.5,21,14,12.1,25,7.51,7,7.1,,,2,
11/07/11,Globe Derby,4,26,7,8,17,6,17.1,21,11,3.5,3.51,,,,2,
11/07/11,Globe Derby,5,3.3,17,9,7,4.3,4.31,11,26,34,41,,,,7,
11/07/11,Globe Derby,6,4.3,4.31,4.8,21,31,21.1,6.5,26,7,7.1,,,,3,
11/07/11,Charlton,6,2.2,14,21,26,51,2.21,51.1,16,14.1,11,16.1,,,1,
11/07/11,Menangle,4,9,17,11,41,4.5,2.4,3.8,26,26.1,41.1,,,,5,
11/07/11,Menangle,5,21,17,3.3,2,6,26,34,51,26.1,21.1,,,,4,
11/07/11,Menangle,6,4,15,6,16,15.1,4.5,5.5,26,4.51,34,,,,7,
11/07/11,Menangle,7,21,3.3,7.5,26,51,12,7.51,7.52,8.5,3.31,,,,1,
12/07/11,Menangle,4,3.5,7,21,6,31,41,999,3,31.1,2.8,,,,1,
12/07/11,Menangle,5,21,5,21.1,34,1.4,34.1,11,21.2,16,21.3,,,,5,
12/07/11,Menangle,6,11,3.5,21,3.3,4.5,34,17,17.1,5.5,,,,,1,
12/07/11,Albion Park,4,34,21,26,8,8.1,4,4.5,17,6,5,,,,10,
12/07/11,Albion Park,6,67,8,16,4.5,5,4,34,15,11,5.1,34.1,,,10,
12/07/11,Albion Park,7,15,2.8,31,10,31.1,999,8.5,5,5.1,10.1,34,,,9,
12/07/11,Shepparton,4,10,6,4.2,34,15,5,26,41,12,3.5,10.1,34.1,,1,
12/07/11,Globe Derby,6,67,34,4.8,8.5,10,4.81,10.1,4.82,12,5.5,,,,2,
13/07/11,Geelong,7,5,34,2.5,15,12,4,8.5,21,12.1,21.1,,,,5,
13/07/11,Redcliffe,5,4.8,4.81,16,26,6.5,26.1,16.1,5,6.51,7.5,,,,1,
13/07/11,Redcliffe,6,3.5,11,15,12,4,13,17,999,4.5,7,,,,6,
13/07/11,Redcliffe,7,31,5.5,26,2.5,6.5,26.1,4.8,11,16,31.1,,,,4,
14/07/11,Tamworth,5,11,26,5.5,4.8,453.2,26.1,7.5,4.3,9,,,,,4,
14/07/11,Gold Coast,4,8,7.5,15,13,9,4,7,12,5,17,21,,,3,
29/07/11,Melton,6,999,8,11,13,7,4,7,12,5,17,21,,,6,
29/07/11,Cobram,7,8,21,34,13,26,4,7,12,5,17,21,,,9,
29/07/11,Newcastle,5,51,999,15,13,21,4,7,12,5,17,21,,,11,
14/07/11,Penrith,6,26,3.5,4,9,21,26.1,51,11,3,,,,,9,
15/07/11,Melton,4,7,18,8,25,8.1,12,34,11,15,13,14,4,5,3,
15/07/11,Maryborough,6,5.5,21,101,2.4,3.7,2.6,,,,,,,,4,
15/07/11,Newcastle,6,11,6,34,6.1,16,6.2,11.1,4.5,8,8.1,13,,,2,
15/07/11,Newcastle,7,26,6,13,31,6.5,12,21,999,6.51,8,51,,,6,
16/07/11,Bendigo,4,5,21,3.5,11,2.1,19,15,9,,,,,,5,
16/07/11,Bendigo,7,1.8,26,67,7,34,41,3,67.1,8.5,999,31,26.1,,1,
16/07/11,Menangle,5,2.8,9,3,11,6,9.1,21,21.1,,,,,,8,
16/07/11,Menangle,6,4,17,51,21,1.5,31,31.1,11,,,,,,5,
16/07/11,Menangle,7,101,2.9,2.91,8,2.8,8.1,,,,,,,,2,
16/07/11,Albion Park,4,21,3.8,21.1,34,26,5.5,34.1,6.5,5,17,4.8,,,10,
16/07/11,Albion Park,6,67,1.5,999,4,9,31,999.1,26,34,21,16,51,,2,
17/07/11,Launceston,5,8.3,5.9,6.5,24.4,17.7,6.9,7.3,2.8,,,,,,7,
18/07/11,Yarra Glen,4,5,34,34.1,999,16,999.1,7.5,3.5,5.1,21,51,26,,2,
18/07/11,Yarra Glen,6,11,3.8,34,3.2,21,7,11.1,999,16,16.1,999.1,2.8,,4,
19/07/11,Melton,5,4,12,18,67,15,34,21,12.1,51,2.7,3.2,,,10,
20/07/11,Geelong,5,15,34,3,34.1,3.1,3.2,16,34.2,21,26,,,,5,
21/07/11,Melton,6,6,6.1,34,51,34.1,3.5,3.51,13,4.2,26,,,,7,
21/07/11,Melton,7,21,4.5,26,999.1,999.2,17,999,11,26.1,8,34,34.1,9.1,13,
21/07/11,Mildura,6,7,7.1,26,7.2,8,34,15,34.1,11,25,2,,,4,
21/07/11,Mildura,7,25,2.1,13,5.5,10,8,41,11,34,11.1,7,,,2,
22/07/11,Charlton,4,25,6,9,21,8,2.7,3.5,9.1,34,21.1,21.2,,,7,
22/07/11,Newcastle,7,31,12,5.5,3.3,26,4.3,13,31.1,10,7.5,31.2,,,6,
22/07/11,Melton,4,2.5,8,26,4.5,11,21,8.1,15,26.1,25,9,21.1,21.2,1,
23/07/11,Shepparton,5,13,5.5,11,999,41,67,2.2,34,5.51,999.1,8,13.1,,7,
23/07/11,Menangle,4,8,16,21,7.5,12,4.3,11,8.5,12.1,3.8,,,,5,
23/07/11,Globe Derby,7,21,17,5,4.5,1.4,26,,,,,,,,5,
23/07/11,Albion Park,5,34,51,51.1,21,999,17,9,7,1.3,26,26.1,,,9,
23/07/11,Albion Park,3,7,4,11,4.1,21,51,51.1,2.8,34,41,101,,,1,
24/07/11,Ballarat,7,6,999,11,3.5,51,51.1,4,15,999.1,11.1,41,4.1,,1,
25/07/11,Warragul,5,2.5,9,3.2,26,21,15,999,13,5.5,13.1,41,,,3,
25/07/11,Warragul,6,21,5,9,9.1,41,2.7,999,26,4.2,41.1,6,,,3,
27/07/11,Hamilton,4,10,8,5,8.1,15,10.1,7,34,7.1,21,999,4,,3,
27/07/11,Hamilton,6,5.5,3,9,26,34,5.51,9.1,999,7,26.1,26.2,17,,3,
27/07/11,Bendigo,7,9,7,21,34,3.2,25,3,34.1,9.1,11,17,13,,7,
29/07/11,Cobram,4,17,17.1,7,34,2.7,4.5,34.2,8,8.1,6,34.1,,,3,
29/07/11,Newcastle,6,21,26,4.5,7,21.1,10,3.5,7.1,4,999,,,,3,
30/07/11,Globe Derby,5,26,6.5,21,3.5,12,2.5,31,31.1,26.1,6.51,31.1,,,4,
30/07/11,Globe Derby,6,2.2,11,8,999,26,6,15,2.8,31,51,41,,,1,
30/07/11,Globe Derby,7,7,8,999,5,1.9,31,8.1,13,4,7.1,,,,4,
30/07/11,Albion Park,4,7,5,13,4,26,21,26.1,9,9.1,8,12,,,4,
30/07/11,Albion Park,5,21,3.3,999,26,3.31,6,4.5,9,21.1,,,,,5,
30/07/11,Albion Park,6,3.3,10,4.3,11,10.1,3.31,21,21.1,26,,,,,1,
2/08/11,Ararat,5,34,7,34.1,34.2,3.5,5.5,3.7,5,15,25,13,,,11,
3/08/11,Kilmore,5,3.2,15,11,11.1,21,11.2,34,3.21,7,21.1,999,13,,9,
3/08/11,Geelong,5,4,11,999,21,13,34,26,5,11.1,4.2,4.21,,,11,
5/08/11,Mildura,5,17,3,2.1,26,11,41,26.1,26.2,8,9,,,,3,
5/08/11,Melton,7,26,7,51,999,41,5.5,4,26.1,26.2,15,2.1,,,11,
6/08/11,Bendigo,5,2.2,41,67,9,3.7,7,26,26.1,15,26.2,7.1,25,,5,
6/08/11,Menangle,4,34,31,41,41.1,17,26,34.1,21,1.2,7,,,,9,
6/08/11,Menangle,5,21,1.5,41,17,11,4.5,13,12,,,,,,2,
6/08/11,Menangle,6,13,34,34.1,51,1.6,999,21,13.1,15,5.5,,,,5,
6/08/11,Globe Derby,6,67,34,34.1,51,1.5,3,21,17,,,,,,5,
6/08/11,Albion Park,6,999,21,6,13,13.1,13.2,11,1.6,,,,,,8,
7/08/11,Ballarat,6,4,4.5,9,25,11,21,3.5,13,21.1,11.1,21.2,15,,2,
8/08/11,Yarra Glen,4,26,6,41,26.1,3,26.2,51,25,6.5,3.5,5,51.1,,11,
9/08/11,Kilmore,7,13,13.1,4,11,41,67,17,5,4.5,4.1,999,999.1,,9,
10/08/11,Hamilton,5,34,4,21,41,6,4.5,999,5,26,10,999.1,4.2,,6,
